DATE_TIME,N_MOD,CTS_MOD,T_DELTA_MOD,TEMP_MOD,RH_MOD
"2020-12-11 12:00:00",47,797,1551,21.9,52.9
"2020-12-11 12:30:00",48,912,1799,22.9,51.6
"2020-12-11 13:00:00",49,990,1799,23.4,51
"2020-12-11 13:30:00",50,985,1799,23.6,50.8
"2020-12-11 14:00:00",51,943,1799,23.8,50.6
"2020-12-11 14:30:00",52,1009,1799,23.9,50.4
"2020-12-11 15:00:00",53,922,1799,24.1,50.3
"2020-12-11 15:30:00",54,44,100,24.2,50.2
"2020-12-11 16:00:00",55,913,1799,24.2,50.1
"2020-12-11 16:30:00",56,997,1800,24.2,50.1
"2020-12-11 17:00:00",57,905,1800,24.3,50
"2020-12-11 17:30:00",58,956,1799,24.4,49.9
"2020-12-11 18:00:00",59,994,1799,24.6,49.9
"2020-12-11 18:30:00",60,992,1799,24.8,49.9
"2020-12-11 19:00:00",61,915,1799,24.9,49.9
"2020-12-11 19:30:00",62,944,1799,25,49.9
"2020-12-11 20:00:00",63,973,1800,25,49.9
"2020-12-11 20:30:00",64,918,1800,24.9,49.8
"2020-12-11 21:00:00",65,948,1799,24.9,49.8
"2020-12-11 21:30:00",66,895,1799,24.8,49.8
"2020-12-11 22:00:00",67,981,1799,24.7,49.8
"2020-12-11 22:30:00",68,911,1799,24.6,49.7
"2020-12-11 23:00:00",69,860,1799,24.5,49.7
"2020-12-11 23:30:00",70,948,1800,24.4,49.6
"2020-12-12 00:00:00",71,968,1800,24.3,49.6
"2020-12-12 00:30:00",72,910,1799,24.2,49.5
"2020-12-12 01:00:00",73,942,1799,24.1,49.5
"2020-12-12 01:30:00",74,934,1799,24.1,49.5
"2020-12-12 02:00:00",75,885,1799,24,49.4
"2020-12-12 02:30:00",76,942,1799,23.9,49.4
"2020-12-12 03:00:00",77,861,1800,23.8,49.4
"2020-12-12 03:30:00",78,928,1800,23.8,49.3
"2020-12-12 04:00:00",79,927,1799,23.7,49.3
"2020-12-12 04:30:00",80,916,1799,23.6,49.3
"2020-12-12 05:00:00",81,924,1799,23.6,49.2
"2020-12-12 05:30:00",82,904,1799,23.5,49.2
"2020-12-12 06:00:00",83,877,1799,23.4,49.1
"2020-12-12 06:30:00",84,824,1800,23.4,49.1
"2020-12-12 07:00:00",85,949,1800,23.3,49.1
"2020-12-12 07:30:00",86,887,1799,23.3,49.1
"2020-12-12 08:00:00",87,859,1799,23.2,49.1
"2020-12-12 08:30:00",88,857,1799,23.2,49
"2020-12-12 09:00:00",89,876,1799,23.1,49
"2020-12-12 09:30:00",90,855,1799,23.1,49
"2020-12-12 10:00:00",91,845,1800,23,48.9
"2020-12-12 10:30:00",92,796,1800,23,48.9
"2020-12-12 11:00:00",93,848,1799,23,48.9
"2020-12-12 11:30:00",94,858,1799,23,48.9
"2020-12-12 12:00:00",95,877,1799,22.9,48.9
"2020-12-12 12:30:00",96,907,1799,23,48.8
"2020-12-12 13:00:00",97,895,1799,22.9,48.8
"2020-12-12 13:30:00",98,844,1800,22.9,48.8
"2020-12-12 14:00:00",99,904,1800,22.9,48.8
"2020-12-12 14:30:00",100,896,1799,22.9,48.8
"2020-12-12 15:00:00",101,835,1799,22.9,48.8
"2020-12-12 15:30:00",102,843,1799,22.8,48.8
