"TOA5","CR1000","CR1000","22905","CR1000.Std.32.03","CPU:CountsMod_Unmod.CR1","43583","HistogramMod"
"TIMESTAMP","RECORD","HistStatsMod(1)","HistStatsMod(2)","HistStatsMod(3)","HistStatsMod(4)","HistStatsMod(5)","HistBinMod(1)","HistBinMod(2)","HistBinMod(3)","HistBinMod(4)","HistBinMod(5)","HistBinMod(6)","HistBinMod(7)","HistBinMod(8)","HistBinMod(9)","HistBinMod(10)","HistBinMod(11)","HistBinMod(12)","HistBinMod(13)","HistBinMod(14)","HistBinMod(15)","HistBinMod(16)","HistBinMod(17)","HistBinMod(18)","HistBinMod(19)","HistBinMod(20)","HistBinMod(21)","HistBinMod(22)","HistBinMod(23)","HistBinMod(24)","HistBinMod(25)","HistBinMod(26)","HistBinMod(27)","HistBinMod(28)","HistBinMod(29)","HistBinMod(30)","HistBinMod(31)","HistBinMod(32)","HistBinMod(33)","HistBinMod(34)","HistBinMod(35)","HistBinMod(36)","HistBinMod(37)","HistBinMod(38)","HistBinMod(39)","HistBinMod(40)","HistBinMod(41)","HistBinMod(42)","HistBinMod(43)","HistBinMod(44)","HistBinMod(45)","HistBinMod(46)","HistBinMod(47)","HistBinMod(48)","HistBinMod(49)","HistBinMod(50)","HistBinMod(51)","HistBinMod(52)","HistBinMod(53)","HistBinMod(54)","HistBinMod(55)","HistBinMod(56)","HistBinMod(57)","HistBinMod(58)","HistBinMod(59)","HistBinMod(60)","HistBinMod(61)","HistBinMod(62)","HistBinMod(63)","HistBinMod(64)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-02-26 00:00:00",0,37,1672,15131,67,40268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,11,9,8,9,10,11,17,18,18,18,16,21,23,24,26,36,59,115,214,255,228,250,214,194,167,118,28,11,11,14,10,12,10,9,8,3,0,0,1,0,0,1,0,0,1,50
"2021-02-27 00:00:00",1,37,3393,31405,133,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,9,9,10,13,8,15,14,18,16,19,18,20,25,23,27,40,60,118,211,255,233,247,230,203,163,130,28,13,13,14,12,12,10,8,7,5,0,0,0,0,1,0,0,0,0,51
"2021-02-28 00:00:00",2,39,3319,30412,131,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,8,8,8,11,9,11,16,16,18,18,16,23,21,25,25,34,57,117,213,253,235,255,221,209,156,126,27,14,13,12,12,12,9,9,7,3,0,0,0,0,0,0,0,0,0,52
"2021-03-01 00:00:00",3,37,3630,31759,148,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,12,10,9,9,10,9,11,17,15,16,16,15,19,22,21,26,37,47,92,194,255,226,251,220,202,161,116,22,12,13,12,11,11,9,8,7,3,0,0,0,0,0,0,0,0,0,43
"2021-03-02 00:00:00",4,39,3795,33061,143,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,9,10,9,11,10,11,15,14,16,16,15,20,20,21,24,35,50,87,189,250,232,255,224,203,156,115,22,13,12,15,12,10,9,7,7,3,0,0,0,0,0,0,0,0,0,44
"2021-03-03 00:00:00",5,39,3885,33521,140,20867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,9,9,9,9,9,11,15,16,15,16,15,20,21,23,24,35,45,89,193,250,230,255,215,192,154,114,24,15,11,13,11,11,8,7,7,3,0,0,0,0,0,0,0,0,0,48
"2021-03-04 00:00:00",6,39,3830,33767,157,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,10,11,9,10,10,12,16,15,15,17,16,19,20,20,27,31,48,95,191,254,232,255,227,201,158,121,23,13,13,13,11,10,8,8,5,3,0,0,0,0,0,0,0,0,0,45
"2021-03-05 00:00:00",7,37,3898,34694,164,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,10,10,8,11,9,11,14,17,17,17,18,20,20,21,26,34,51,100,195,255,227,252,226,199,168,118,25,14,13,11,12,13,9,8,7,4,0,0,0,0,0,0,0,0,0,45
