DATE_TIME;DRBS;NEWK
2021-03-11 16:35:00;122.133; 97.190
2021-03-11 16:36:00;120.867; 98.330
2021-03-11 16:37:00;120.500; 95.660
2021-03-11 16:38:00;121.283; 97.120
2021-03-11 16:39:00;118.300; 93.090
2021-03-11 16:40:00;120.700; 95.130
2021-03-11 16:41:00;121.067; 92.240
2021-03-11 16:42:00;121.433; 98.420
2021-03-11 16:43:00;121.600; 96.000
2021-03-11 16:44:00;126.250; 96.890
2021-03-11 16:45:00;121.250; 95.320
2021-03-11 16:46:00;121.617; 98.480
2021-03-11 16:47:00;121.133; 95.410
2021-03-11 16:48:00;121.683; 96.000
2021-03-11 16:49:00;122.517; 95.410
2021-03-11 16:50:00;118.883; 95.060
2021-03-11 16:51:00;122.150;101.630
2021-03-11 16:52:00;121.867; 94.660
2021-03-11 16:53:00;122.700; 93.890
2021-03-11 16:54:00;125.233; 96.880
2021-03-11 16:55:00;124.483; 95.660
2021-03-11 16:56:00;120.750; 98.780
2021-03-11 16:57:00;124.767; 95.710
2021-03-11 16:58:00;119.683; 96.330
2021-03-11 16:59:00;122.733; 95.220
2021-03-11 17:00:00;123.167; 98.500
2021-03-11 17:01:00;118.233; 96.830
2021-03-11 17:02:00;121.400; 93.800
2021-03-11 17:03:00;120.633; 98.270
2021-03-11 17:04:00;121.733; 96.980
2021-03-11 17:05:00;120.083;100.430
2021-03-11 17:06:00;123.000; 92.740
2021-03-11 17:07:00;119.717; 98.250
2021-03-11 17:08:00;119.383; 97.650
2021-03-11 17:09:00;121.567; 98.190
2021-03-11 17:10:00;124.383; 98.510
2021-03-11 17:11:00;119.000; 96.810
2021-03-11 17:12:00;120.467; 98.360
2021-03-11 17:13:00;118.067; 94.570
2021-03-11 17:14:00;118.583; 94.940
2021-03-11 17:15:00;122.867; 96.940
2021-03-11 17:16:00;120.750; 96.910
2021-03-11 17:17:00;123.633; 91.500
2021-03-11 17:18:00;123.067; 95.660
2021-03-11 17:19:00;120.300; 97.130
2021-03-11 17:20:00;117.417; 97.420
2021-03-11 17:21:00;127.683; 96.320
2021-03-11 17:22:00;119.550; 94.690
2021-03-11 17:23:00;120.983; 96.390
2021-03-11 17:24:00;122.800; 97.620
2021-03-11 17:25:00;123.683; 97.970
2021-03-11 17:26:00;122.383; 96.240
2021-03-11 17:27:00;121.283; 96.190
2021-03-11 17:28:00;122.083; 99.630
2021-03-11 17:29:00;116.517; 95.770
2021-03-11 17:30:00;120.867; 96.590
2021-03-11 17:31:00;125.067; 93.360
2021-03-11 17:32:00;120.817; 94.730
2021-03-11 17:33:00;126.600; 96.220
2021-03-11 17:34:00;125.867; 96.480
2021-03-11 17:35:00;121.983; 95.860
2021-03-11 17:36:00;116.517; 96.810
2021-03-11 17:37:00;122.967; 98.400
2021-03-11 17:38:00;117.683; 97.010
2021-03-11 17:39:00;119.983; 96.120
2021-03-11 17:40:00;124.500; 97.910
2021-03-11 17:41:00;121.617; 97.240
2021-03-11 17:42:00;122.850; 95.880
2021-03-11 17:43:00;117.683; 98.480
2021-03-11 17:44:00;122.117; 98.890
2021-03-11 17:45:00;120.400; 95.690
2021-03-11 17:46:00;121.600;100.120
2021-03-11 17:47:00;120.783; 97.120
2021-03-11 17:48:00;120.533; 95.790
2021-03-11 17:49:00;120.050; 98.950
2021-03-11 17:50:00;120.450; 96.950
2021-03-11 17:51:00;115.000; 95.070
2021-03-11 17:52:00;119.717; 97.150
2021-03-11 17:53:00;125.367; 99.060
2021-03-11 17:54:00;118.633; 99.420
2021-03-11 17:55:00;122.300; 97.000
2021-03-11 17:56:00;118.433; 97.380
2021-03-11 17:57:00;121.267; 95.220
2021-03-11 17:58:00;120.717; 96.940
2021-03-11 17:59:00;124.250; 96.210
2021-03-11 18:00:00;121.717; 96.000
2021-03-11 18:01:00;122.750; 95.000
2021-03-11 18:02:00;114.917; 95.590
2021-03-11 18:03:00;119.150; 98.920
2021-03-11 18:04:00;120.450; 94.680
2021-03-11 18:05:00;119.333; 99.430
2021-03-11 18:06:00;123.300; 98.000
2021-03-11 18:07:00;119.367; 97.840
2021-03-11 18:08:00;123.233; 98.400
2021-03-11 18:09:00;118.500; 95.690
2021-03-11 18:10:00;122.533; 96.500
2021-03-11 18:11:00;120.150; 93.790
2021-03-11 18:12:00;119.017; 97.620
